dfRowCount,execution time
1,0.008000612258911133
1,0.00700068473815918
1,0.011001110076904297
1,0.008000850677490234
1,0.006000518798828125
1,0.0060007572174072266
1,0.00700068473815918
1,0.00500035285949707
1,0.0060007572174072266
1,0.00500035285949707
1,0.005000591278076172
1,0.0060002803802490234
1,0.005000591278076172
1,0.006000518798828125
1,0.0050008296966552734
1,0.00500035285949707
1,0.005000591278076172
1,0.00500035285949707
1,0.006000518798828125
1,0.005000591278076172
1,0.00500035285949707
1,0.005000591278076172
1,0.00500035285949707
1,0.00700068473815918
1,0.006000518798828125
1,0.00700068473815918
1,0.005000591278076172
1,0.00500035285949707
1,0.0060007572174072266
1,0.005000591278076172
1,0.0050008296966552734
1,0.006000518798828125
1,0.006000518798828125
1,0.006000518798828125
1,0.00500035285949707
1,0.005000591278076172
1,0.0060007572174072266
1,0.005000591278076172
1,0.006000518798828125
1,0.004000663757324219
1,0.0060002803802490234
1,0.0060007572174072266
1,0.00500035285949707
1,0.0060007572174072266
1,0.0060007572174072266
1,0.0060002803802490234
1,0.0060007572174072266
1,0.004000425338745117
1,0.0060007572174072266
1,0.00500035285949707
1,0.005000591278076172
1,0.00500035285949707
1,0.004000186920166016
1,0.006000518798828125
1,0.00500035285949707
1,0.005000591278076172
1,0.006000518798828125
1,0.004000425338745117
1,0.006000518798828125
1,0.005000591278076172
1,0.00500035285949707
1,0.0060007572174072266
1,0.005000591278076172
1,0.00500035285949707
1,0.0050008296966552734
1,0.006000518798828125
1,0.0060007572174072266
1,0.00500035285949707
1,0.0060007572174072266
1,0.0060007572174072266
1,0.006000518798828125
1,0.005000591278076172
1,0.00500035285949707
1,0.0060007572174072266
1,0.0060007572174072266
1,0.007000446319580078
1,0.0060007572174072266
1,0.0060007572174072266
1,0.006000518798828125
1,0.007000923156738281
1,0.0060002803802490234
1,0.008000612258911133
1,0.007000923156738281
1,0.00700068473815918
1,0.006000518798828125
1,0.009001016616821289
1,0.0060007572174072266
1,0.006000518798828125
1,0.0060007572174072266
